cluster
GCF_000597845.1|WP_000002303.1
GCF_000597845.1|WP_000002541.1
GCF_000597845.1|WP_000002907.1
GCF_000597845.1|WP_000002953.1
GCF_000597845.1|WP_000003317.1
GCF_000597845.1|WP_000003377.1
GCF_000597845.1|WP_000003820.1
GCF_000597845.1|WP_000004051.1
GCF_000597845.1|WP_000004438.1
GCF_000597845.1|WP_000004488.1
GCF_000597845.1|WP_000004618.1
GCF_000597845.1|WP_000004655.1
GCF_000597845.1|WP_000004770.1
GCF_000597845.1|WP_000004899.1
GCF_000597845.1|WP_000005042.1
GCF_000597845.1|WP_000006621.1
GCF_000597845.1|WP_000006806.1
GCF_000597845.1|WP_000007523.1
GCF_000597845.1|WP_000007629.1
GCF_000597845.1|WP_000008957.1
GCF_000597845.1|WP_000010749.1
GCF_000597845.1|WP_000011114.1
GCF_000597845.1|WP_000012300.1
GCF_000597845.1|WP_000012550.1
GCF_000597845.1|WP_000013046.1
GCF_000597845.1|WP_000013506.1
GCF_000597845.1|WP_000014036.1
GCF_000597845.1|WP_000014321.1
GCF_000597845.1|WP_000015497.1
GCF_000597845.1|WP_000015837.1
GCF_000597845.1|WP_000015990.1
GCF_000597845.1|WP_000016560.1
GCF_000597845.1|WP_000016907.1
GCF_000597845.1|WP_000017106.1
GCF_000597845.1|WP_000017354.1
GCF_000597845.1|WP_000017552.1
GCF_000597845.1|WP_000017703.1
GCF_000597845.1|WP_000018003.1
GCF_000597845.1|WP_000018588.1
GCF_000597845.1|WP_000018633.1
GCF_000597845.1|WP_000018760.1
GCF_000597845.1|WP_000019358.1
GCF_000597845.1|WP_000019588.1
GCF_000597845.1|WP_000019655.1
GCF_000597845.1|WP_000019869.1
GCF_000597845.1|WP_000020078.1
GCF_000597845.1|WP_000020163.1
GCF_000597845.1|WP_000020467.1
GCF_000597845.1|WP_000020749.1
GCF_000597845.1|WP_000020880.1
GCF_000597845.1|WP_000021036.1
GCF_000597845.1|WP_000022442.1
GCF_000597845.1|WP_000023081.1
GCF_000597845.1|WP_000024560.1
GCF_000597845.1|WP_000025458.1
GCF_000597845.1|WP_000025892.1
GCF_000597845.1|WP_000026047.1
GCF_000597845.1|WP_000026117.1
GCF_000597845.1|WP_000027705.1
GCF_000597845.1|WP_000028540.1
GCF_000597845.1|WP_000028878.1
GCF_000597845.1|WP_000029611.1
GCF_000597845.1|WP_000030016.1
GCF_000597845.1|WP_000030537.1
GCF_000597845.1|WP_000032691.1
GCF_000597845.1|WP_000033328.1
GCF_000597845.1|WP_000033487.1
GCF_000597845.1|WP_000034372.1
GCF_000597845.1|WP_000034602.1
GCF_000597845.1|WP_000035581.1
GCF_000597845.1|WP_000036371.1
GCF_000597845.1|WP_000036723.1
GCF_000597845.1|WP_000037562.1
GCF_000597845.1|WP_000039862.1
GCF_000597845.1|WP_000040169.1
GCF_000597845.1|WP_000040208.1
GCF_000597845.1|WP_000041970.1
GCF_000597845.1|WP_000042533.1
GCF_000597845.1|WP_000042632.1
